n2,ch1,n1,ranXSec,ranSignal
100,75,50,1,0
100,85,70,1,0
100,90,80,0,0
100,80,60,0,0
100,70,40,0,0
100,60,20,0,0
150,125,100,0,0
150,135,120,0,0
150,140,130,0,0
150,130,110,0,0
150,120,90,0,0
150,110,70,0,0
150,100,50,0,0
200,175,150,1,0
200,185,170,1,0
200,190,180,0,0
200,180,160,0,0
200,170,140,0,0
200,160,120,0,0
200,150,100,0,0
250,225,200,0,0
250,235,220,0,0
250,240,230,0,0
250,230,210,0,0
250,220,190,0,0
250,210,170,0,0
250,200,150,0,0
300,275,250,1,0
300,285,270,1,0
300,290,280,0,0
300,280,260,0,0
300,270,240,0,0
300,260,220,0,0
300,250,200,0,0
350,325,300,0,0
350,335,320,0,0
350,340,330,0,0
350,330,310,0,0
350,320,290,0,0
350,310,270,0,0
350,300,250,0,0
400,375,350,0,0
400,385,370,0,0
400,390,380,0,0
400,380,360,0,0
400,370,340,0,0
400,360,320,0,0
400,350,300,0,0
450,425,400,0,0
450,435,420,0,0
450,440,430,0,0
450,430,410,0,0
450,420,390,0,0
450,410,370,0,0
450,400,350,0,0
500,475,450,0,0
500,485,470,0,0
500,490,480,0,0
500,480,460,0,0
500,470,440,0,0
500,460,420,0,0
500,450,400,0,0
